id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391903274962460678,1391903274962460678,2021-05-10 18:49:35 Hora de verano central (México),2021-05-10,18:49:35,-0500,901842675317354496,mirza6660,Bharat Times,,"Maharashtra has 37,236 COVID-19 cases, 549 deaths  https://t.co/SrgRkUcMih",tl,[],['https://eng.bharattimes.co.in/maharashtra-has-37236-covid-19-cases-549-deaths/'],[],0,0,0,[],[],https://twitter.com/mirza6660/status/1391903274962460678,False,,0,,,,,,,,[],,,,
1391903271132962817,1391897859591532546,2021-05-10 18:49:34 Hora de verano central (México),2021-05-10,18:49:34,-0500,79708673,azmanrocks,I stand with the Palestinians,,"@theedgemalaysia @DGHisham When we are behind in tracing, testing and assessment, more COVID-19 get undiagnosed. When capacity get stressed, higher stage COVID-19 (high risk Cat 1&amp;2, Cat 3, even Cat 4) don't get hospitalised.  I won't say article is wrong, just inaccurately titled.",en,[],[],[],0,0,3,[],[],https://twitter.com/azmanrocks/status/1391903271132962817,False,,0,,,,,,,,"[{'screen_name': 'theedgemalaysia', 'name': 'The Edge Malaysia', 'id': '19107088'}, {'screen_name': 'DGHisham', 'name': 'Noor Hisham Abdullah', 'id': '1595149746'}]",,,,
1391903269597941760,1391903269597941760,2021-05-10 18:49:34 Hora de verano central (México),2021-05-10,18:49:34,-0500,87678878,vigilanteinfo,vigilanteinformativo,,Vacunan contra covid-19 a pacientes con la defensa afectada  https://t.co/qK1dA2TVc7,es,[],['https://vigilanteinformativo.com/vacunan-contra-covid-19-a-pacientes-con-la-defensa-afectada/'],[],0,1,0,[],[],https://twitter.com/vigilanteinfo/status/1391903269597941760,False,,0,,,,,,,,[],,,,
1391903269358874628,1391860012914561029,2021-05-10 18:49:34 Hora de verano central (México),2021-05-10,18:49:34,-0500,40694981,dischimera,"Jean | ᴛʀᴜsᴛ, ʙᴜᴛ ᴠᴇʀɪғʏ",,@thespybrief Tonight on NoozMaxx: COVID-19 vaccinations will turn you into a 🧛VAMPIRE🧛 - here's a MSM link that proves it!,en,[],[],[],0,0,0,[],[],https://twitter.com/DisChimera/status/1391903269358874628,False,,0,,,,,,,,"[{'screen_name': 'thespybrief', 'name': 'The Spy Brief', 'id': '905154964829462528'}]",,,,
1391903266229964800,1391903266229964800,2021-05-10 18:49:33 Hora de verano central (México),2021-05-10,18:49:33,-0500,1383371520,crisiefa91,Cristian 💙❤🤘🇨🇱,,algunas cifras sudamericanas  casos y fallecidos  🇵🇪Perú 1.850.290 y 64.103 ✝️ 🇨🇱Chile 1.252.808 y 27.318 ✝️ 🇪🇨Ecuador 402.060 y 19.242 ✝️ 🇧🇴Bolivia 318.610 y 13.228 ✝️ 🇵🇾Paraguay 299.684 y 7.209 ✝️ 🇺🇾Uruguay 222.870 y 3.171 ✝️ 🇬🇾Guyana 14.442 y 327 ✝️  #COVID19,es,[],[],[],0,1,3,['covid19'],[],https://twitter.com/CrisIEFA91/status/1391903266229964800,False,,0,,,,,,,,[],,,,
1391903265722339334,1391903265722339334,2021-05-10 18:49:33 Hora de verano central (México),2021-05-10,18:49:33,-0500,165480484,ugh__sigh,((( S n a r f )))✊🏽✊🏾✊,,Church that once sued over COVID-19 restrictions continues services after 74 people infected.  https://t.co/EsTKSuw7VW,en,[],['https://www.cbsnews.com/news/covid-19-peoples-church-oregon-74-infected/'],[],0,0,0,[],[],https://twitter.com/ugh__sigh/status/1391903265722339334,False,,0,,,,,,,,[],,,,
1391903263092396032,1391903263092396032,2021-05-10 18:49:32 Hora de verano central (México),2021-05-10,18:49:32,-0500,1336638288011042819,baik56199676,Baik,,HOAX meninggalnya ustad Tengku Zulkarnain karena covid-19  https://t.co/RGmpeTFQmB,in,[],[],['https://pbs.twimg.com/media/E1EIoVgVoAM9Cfy.jpg'],0,0,0,[],[],https://twitter.com/Baik56199676/status/1391903263092396032,False,,1,https://pbs.twimg.com/media/E1EIoVgVoAM9Cfy.jpg,,,,,,,[],,,,
1391903262723526656,1391903262723526656,2021-05-10 18:49:32 Hora de verano central (México),2021-05-10,18:49:32,-0500,335815612,brunospacepd,Bruno Amaro,,"COVID-19 ANGOLA – ACTUALIZAÇÃO – 10 DE MAIO  https://t.co/i3bN8HGFBl  DIÁRIO Esta semana começa alta, tal como terminou a passada.  https://t.co/pKhCAqahUd",pt,[],['https://rockislife40.wordpress.com/2021/05/10/covid-19-angola-actualizacao-10-de-maio-de-2021/'],['https://pbs.twimg.com/media/E1EIPEZXoAAeLtQ.jpg'],1,0,0,[],[],https://twitter.com/BrunoSpacePD/status/1391903262723526656,False,,1,https://pbs.twimg.com/media/E1EIPEZXoAAeLtQ.jpg,,,,,,,[],,,,
1391903261511278592,1391903261511278592,2021-05-10 18:49:32 Hora de verano central (México),2021-05-10,18:49:32,-0500,72377603,daniel_gbl,Daniel GBL,,Los esperamos en la sesión de la C. de Derecho Mercantil de la @BMA_Abogados en la que abordaremos lo relativo a la reestructura de créditos bancarios en tiempos de dificultades económicas por la pandemia de #COVID19.  Ojalá nos puedan acompañar.,es,"[{'screen_name': 'bma_abogados', 'name': 'barra mexicana, colegio de abogados a.c.', 'id': '213957501'}]",[],[],0,2,3,['covid19'],[],https://twitter.com/Daniel_GBL/status/1391903261511278592,False,https://twitter.com/bma_abogados/status/1391886060687437828,0,,,,,,,,[],,,,
1391903259833536512,1391903259833536512,2021-05-10 18:49:32 Hora de verano central (México),2021-05-10,18:49:32,-0500,3380792122,freedom_side,🌎 Just Be Free,,"En Italie, une jeune femme a reçu six doses du #Vaccin de #Pfizer #BioNtech contre le #Covid19 à la suite d'une erreur commise par une infirmière. Elle a été placée en observation à l'hôpital.   https://t.co/Je6jEuVVB7",fr,[],['https://francais.rt.com/international/86455-italie-stagiaire-medecine-recoit-accidentellement-six-doses-vaccin-pfizer-biontech-covid-19'],[],0,1,1,"['vaccin', 'pfizer', 'biontech', 'covid19']",[],https://twitter.com/Freedom_Side/status/1391903259833536512,False,,0,,,,,,,,[],,,,
